source,file,page,chunk,text
slide,(Re)-Introduction to Data Science & Control Flow.pptx.pdf,102,1,
slide,AB Testing.pdf,49,1,"Thursday
On Thursday we will be meeting for our review 
session. We will:
●
Review GitHub 
●
Review TLAB #3
●
Work together on TLAB #3
Remember!  Make this EDA your own. You can 
discuss ﬁndings & documentation, but you 
cannot share code."
slide,Advanced Abstraction.pptx.pdf,66,1,"Tuesday
Tomorrow will entail:
●
Further exploration of OOP.
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Advanced Control Flow.pptx.pdf,93,1,
slide,Advanced Data Processing.pptx.pdf,61,1,"Wednesday
Wednesday will entail:
●
A review of visualizing data
●
How to use Matplotlib
●
TLAB Work
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Advanced SQL I.pdf,43,1,"Tuesday
SQL + Python
●
How do we design a database?
●
How do we use SQLite in the command 
line?
●
How do we use SQLite in Python?"
slide,Advanced SQL II.pptx.pdf,41,1,"Wednesday
SQL Leetcode Review
●
Another Leetcode day! (pray that it 
doesn’t go down)
●
We’ll hold off on Machine Learning until 
Phase 2"
slide,Applied LLMs & Agents.pdf,41,1,"Agents
Usage
LLMs augmented with reasoning loops that can decide 
when and how to call tools, APIs, or other systems.
Pros 
●
Supports complex reasoning workﬂows
●
When used in conjunction with RAGs/Fine-tuned 
models, all former pros of tools included
Cons
●
Expensive in time to orchestrate
●
More points of failure (vs just one)
●
Requires robust data management"
slide,Applied Rest APIs I.pdf,76,1,"Tuesday
Tuesday will entail:
●
More API calls!
●
Interacting with the OpenAI API
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Applied Rest APIs II.pptx.pdf,64,1,"Wednesday
Wednesday will entail:
●
A review of probability
●
Applied probability
●
Work on the OpenAI Lab
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Applied Web Scraping I.pptx.pdf,41,1,"Tuesday
Tuesday will entail:
●
More web-scraping!
●
Regular expressions   
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Applied Web Scraping II.pptx.pdf,32,1,"Wednesday
Wednesday will entail:
●
Hypothesis testing
●
Applied hypothesis testing in data analysis 
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Bayes Theorem Review.pdf,104,1,"Monday
Next week, we will continue our 
review of classiﬁcation algorithms by 
diving deeper into Naive Bayes & 
something called 
K-Nearest-Neighbors.
You are who your neighbors 
are.
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Data Reporting.pdf,48,1,"Thursday
No review session. Financial workshop
Jupyter: scratchpad of the data 
scientist
If you understand what you're doing, you're 
not learning anything. - Anonymous"
slide,Dimensionality Reduction with PCA.pdf,89,1,"Lab (Due 04/22)
You are a data scientist working at an up & coming music platform startup 
that just secured its Series B ﬁnancing. 
With this infusion of new cash ﬂow, you are tasked with building an 
unsupervised recommendation algorithm that will recommend users new 
songs based on their previous listening history. As this is a brand new 
project, you will have to build this project from scratch.
Submit a link to your GitHub repository by 4/22."
